i,PA,PB
1,1,0
2,1,0
3,0.1,0.9
4,1,0
5,1,0
6,1,0
7,0.9,0.1
8,1,0
9,0.4,0.6
10,0.2,0.8
11,0.3,0.7
12,0.2,0.8
13,0,1
14,0.2,0.8
15,0,1
16,0.1,0.9
17,0.3,0.7
18,0.3,0.7
19,0.7,0.3
20,0.8,0.2
